P589-Fg002-V-C01-R01-D12022013-T112400-ML638_250_2500,P589-Fg003-V-C01-R01-D12022013-T114238-ML638_1000_2750.npy
P589-Fg002-V-C01-R01-D12022013-T112400-ML638_250_2500,P597-Fg051-V-C01-R01-D01122014-T125556-ML638_250_0.npy
P589-Fg002-V-C01-R01-D12022013-T112400-ML638_250_2500,P598-Fg013-V-C01-R01-D07012014-T132450-ML638_250_0.npy
P589-Fg002-V-C01-R01-D12022013-T112400-ML638_250_2500,P590-Fg004-V-C01-R01-D13022013-T142314-ML638_0_0.npy
P589-Fg002-V-C01-R01-D12022013-T112400-ML638_250_2500,P590-Fg032-V-C01-R01-D14022013-T151728-ML638_500_0.npy
P589-Fg003-V-C01-R01-D12022013-T114238-ML638_250_2750,P590-Fg032-V-C01-R01-D14022013-T151728-ML638_500_0.npy
P589-Fg003-V-C01-R01-D12022013-T114238-ML638_1000_2750,P597-Fg051-V-C01-R01-D01122014-T125556-ML638_250_0.npy
P589-Fg003-V-C01-R01-D12022013-T114238-ML638_1000_2750,P598-Fg005-V-C01-R01-D07012014-T113520-ML638_750_0.npy
P589-Fg003-V-C01-R01-D12022013-T114238-ML638_1000_2750,P590-Fg004-V-C01-R01-D13022013-T142314-ML638_0_0.npy
P589-Fg003-V-C01-R01-D12022013-T114238-ML638_1000_2750,P590-Fg035-V-C01-R01-D14022013-T154354-ML638_1000_0.npy
P589-Fg003-V-C01-R01-D12022013-T114238-ML638_1000_2750,P593-Fg004-V-C01-R01-D30122013-T150045-ML638_500_0.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P597-Fg051-V-C01-R01-D01122014-T125556-ML638_250_0.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P598-Fg001-V-C01-R01-D07012014-T105717-ML638_250_0.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P598-Fg005-V-C01-R01-D07012014-T113520-ML638_750_0.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P598-Fg020-V-C01-R01-D07012014-T142020-ML638_750_0.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P598-Fg035-V-C01-R01-D08012014-T114742-ML638_250_1250.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P590-Fg004-V-C01-R01-D13022013-T142314-ML638_0_0.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P590-Fg032-V-C01-R01-D14022013-T151728-ML638_500_0.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P590-Fg032-V-C01-R01-D14022013-T151728-ML638_1000_1750.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P590-Fg032-V-C01-R01-D14022013-T151728-ML638_1250_1750.npy
P589-Fg005-V-C01-R01-D12022013-T115957-ML638_0_750,P590-Fg035-V-C01-R01-D14022013-T154354-ML638_1000_0.npy
P589-Fg006-V-C01-R01-D12022013-T121224-ML638_250_3750,P597-Fg003-V-C01-R01-D30112014-T103141-ML638_500_0.npy
P589-Fg006-V-C01-R01-D12022013-T121224-ML638_250_3750,P590-Fg032-V-C01-R01-D14022013-T151728-ML638_500_0.npy
P589-Fg006-V-C01-R01-D12022013-T121224-ML638_250_3750,P590-Fg035-V-C01-R01-D14022013-T154354-ML638_1000_0.npy
P589-Fg006-V-C01-R01-D12022013-T121224-ML638_1000_3750,P590-Fg032-V-C01-R01-D14022013-T151728-ML638_500_0.npy
P589-Fg006-V-C01-R01-D12022013-T121224-ML638_1500_3750,P590-Fg032-V-C01-R01-D14022013-T151728-ML638_500_0.npy
